type_id;vendor_name;vendor_name_abbr;name;name_extension;seats;doors;gear;trunk;air_condition;gps;min_age;type;drive;img_file_name;price;loc_name
8;BMW;BMW;Mini;Cabrio;4;2;manually;NULL;1;0;21;Cabrio;Combuster;mini-cooper-cabrio-2d-weiss-offen-2018.png;156.99;Berlin
10;Volkswagen;VW;Touran;;5;5;manually;2;1;0;21;SUV;Combuster;vw-touran-van-weiss-2016.png;105.49;Berlin
14;Audi;Audi;A3;;5;4;manually;2;1;0;21;Limousine;Combuster;audi-a3-sportback-blau-2020.png;110.50;Berlin
14;Audi;Audi;A3;;5;4;manually;2;1;0;21;Limousine;Combuster;audi-a3-sportback-blau-2020.png;110.50;Berlin
14;Audi;Audi;A3;;5;4;manually;2;1;0;21;Limousine;Combuster;audi-a3-sportback-blau-2020.png;110.50;Berlin
16;BMW;BMW;1er;Aut.;5;4;automatic;2;1;0;18;Limousine;Combuster;bmw-1er-5d-weiss-2019-1.png;108.31;Berlin
18;Audi;Audi;A4;;5;4;manually;2;1;0;21;Limousine;Combuster;audi-a4-4d-blau-2019.png;121.49;Berlin
19;BMW;BMW;3er;Touring;5;5;manually;3;1;0;21;Combi;Combuster;bmw-3er-kombi-grau-2019.png;124.49;Berlin
24;BMW;BMW;X1;;5;5;manually;2;1;0;21;SUV;Combuster;bmw-x1-5d-weiss-2019.png;117.49;Berlin
31;Volkswagen;VW;Sharan;Aut.;7;4;automatic;2;1;0;21;Mehrsitzer;Combuster;vw-sharan-van-blau-2016-1.png;196.48;Berlin
33;Mercedes-Benz;Mercedes-Benz;SLC;;2;2;manually;NULL;1;1;25;Cabrio;Combuster;mb-slc-cabrio-2d-grau-offen-2016.png;161.98;Berlin
33;Mercedes-Benz;Mercedes-Benz;SLC;;2;2;manually;NULL;1;1;25;Cabrio;Combuster;mb-slc-cabrio-2d-grau-offen-2016.png;161.98;Berlin
41;Audi;Audi;A7;Cabrio;4;2;automatic;NULL;1;1;25;Cabrio;Combuster;bmw-8er-cabrio-2d-gruen-2019-offen.png;188.99;Berlin
41;Audi;Audi;A7;Cabrio;4;2;automatic;NULL;1;1;25;Cabrio;Combuster;bmw-8er-cabrio-2d-gruen-2019-offen.png;188.99;Berlin
47;Ford;Ford;Mustang;Cabrio;4;2;automatic;NULL;1;1;25;Cabrio;Combuster;ford-mustang-cabrio-2d-rot-geschl-2016.png;205.20;Berlin
47;Ford;Ford;Mustang;Cabrio;4;2;automatic;NULL;1;1;25;Cabrio;Combuster;ford-mustang-cabrio-2d-rot-geschl-2016.png;205.20;Berlin
47;Ford;Ford;Mustang;Cabrio;4;2;automatic;NULL;1;1;25;Cabrio;Combuster;ford-mustang-cabrio-2d-rot-geschl-2016.png;205.20;Berlin
54;BMW;BMW;X4M;;5;5;manually;2;1;1;25;SUV;Combuster;bmw-x4-m40i-5d-schwarz-2019-1.png;285.99;Berlin
58;Range Rover;Range Rover;Sport;;5;5;automatic;2;1;1;25;SUV;Combuster;land-rover-range-rover-sport-5d-silber-2018.png;433.49;Berlin
